Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.12,0.08,0.31,19.6
0.15,0.09,0.34,19.7
0.14,0.09,0.29,19.8
0.15,0.09,0.34,19.9
0.14,0.09,0.28,20.0
0.12,0.09,0.26,20.1
0.14,0.09,0.32,20.2
0.15,0.11,0.31,20.3
0.15,0.09,0.32,20.4
0.12,0.09,0.27,20.5
0.15,0.07,0.36,20.6
0.14,0.09,0.31,20.7
0.13,0.1,0.3,20.8
0.13,0.1,0.34,20.9
0.14,0.09,0.32,21.0
0.16,0.1,0.34,21.1
0.14,0.1,0.27,21.2
0.15,0.1,0.27,21.3
0.13,0.1,0.32,21.4
0.14,0.09,0.29,21.5
0.14,0.1,0.33,21.6
0.15,0.1,0.28,21.7
0.14,0.1,0.27,21.8
0.13,0.09,0.31,21.9
0.14,0.1,0.3,22.0
0.14,0.1,0.32,22.1
0.15,0.09,0.33,22.2
0.13,0.1,0.34,22.3
0.14,0.09,0.32,22.4
0.14,0.11,0.32,22.5
0.16,0.11,0.37,22.6
0.14,0.1,0.37,22.7
0.13,0.1,0.33,22.8
0.15,0.11,0.33,22.9
0.15,0.11,0.32,23.0
0.16,0.1,0.35,23.1
0.13,0.1,0.39,23.2
0.16,0.1,0.31,23.3
0.15,0.1,0.4,23.4
0.16,0.13,0.41,23.5
0.17,0.12,0.37,23.6
0.16,0.12,0.44,23.7
0.16,0.13,0.39,23.8
0.17,0.13,0.4,23.9
0.18,0.12,0.41,24.0
0.16,0.12,0.42,24.1
0.16,0.14,0.45,24.2
0.17,0.15,0.4,24.3
0.16,0.13,0.31,24.4
0.15,0.15,0.38,24.5
0.18,0.13,0.33,24.6
0.17,0.15,0.36,24.7
0.18,0.12,0.37,24.8
0.19,0.14,0.31,24.9
0.18,0.13,0.32,25.0
0.18,0.11,0.32,25.1
0.2,0.14,0.33,25.2
0.2,0.12,0.39,25.3
0.19,0.12,0.39,25.4
0.17,0.13,0.4,25.5
0.19,0.13,0.36,25.6
0.21,0.13,0.35,25.7
0.2,0.13,0.37,25.8
0.19,0.13,0.35,25.9
