car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,0.0,17.91,1.04,0.0
AggressiveCar2,0.0,18.21,1.27,0.0
AggressiveCar1,200.3,17.91,1.04,0.1
AggressiveCar2,203.65,18.21,1.27,0.1
AggressiveCar1,100.15,17.91,1.04,0.2
AggressiveCar2,101.82,18.21,1.27,0.2
AggressiveCar1,66.77,17.91,1.04,0.3
AggressiveCar2,67.88,18.21,1.27,0.3
AggressiveCar1,50.07,17.91,1.04,0.4
AggressiveCar2,50.91,18.21,1.27,0.4
AggressiveCar1,40.06,17.91,1.04,0.5
AggressiveCar2,40.73,18.21,1.27,0.5
AggressiveCar1,33.38,17.91,1.04,0.6
AggressiveCar2,33.94,18.21,1.27,0.6
AggressiveCar1,28.61,17.91,1.04,0.7
AggressiveCar2,29.09,18.21,1.27,0.7
AggressiveCar1,25.04,17.91,1.04,0.8
AggressiveCar2,25.46,18.21,1.27,0.8
AggressiveCar1,22.26,17.91,1.04,0.9
AggressiveCar2,22.63,18.21,1.27,0.9
AggressiveCar1,20.03,17.91,1.04,1.0
AggressiveCar2,20.36,18.21,1.27,1.0
AggressiveCar1,18.21,17.91,1.04,1.1
AggressiveCar2,18.51,18.21,1.27,1.1
AggressiveCar1,16.69,17.91,1.04,1.2
AggressiveCar2,16.97,18.21,1.27,1.2
AggressiveCar1,15.41,17.91,1.04,1.3
AggressiveCar2,15.67,18.21,1.27,1.3
AggressiveCar1,14.31,17.91,1.04,1.4
AggressiveCar2,14.55,18.21,1.27,1.4
AggressiveCar1,13.35,17.91,1.04,1.5
AggressiveCar2,13.58,18.21,1.27,1.5
AggressiveCar1,12.52,17.91,1.04,1.6
AggressiveCar2,12.73,18.21,1.27,1.6
AggressiveCar1,11.78,17.91,1.04,1.7
AggressiveCar2,11.98,18.21,1.27,1.7
AggressiveCar1,11.13,17.91,1.04,1.8
AggressiveCar2,11.31,18.21,1.27,1.8
AggressiveCar1,10.54,17.91,1.04,1.9
AggressiveCar2,10.72,18.21,1.27,1.9
AggressiveCar1,10.01,17.91,1.04,2.0
AggressiveCar2,10.18,18.21,1.27,2.0
AggressiveCar1,9.54,17.91,1.04,2.1
AggressiveCar2,9.7,18.21,1.27,2.1
AggressiveCar1,9.1,17.91,1.04,2.2
AggressiveCar2,9.26,18.21,1.27,2.2
AggressiveCar1,8.71,17.91,1.04,2.3
AggressiveCar2,8.85,18.21,1.27,2.3
AggressiveCar1,8.35,17.91,1.04,2.4
AggressiveCar2,8.49,18.21,1.27,2.4
AggressiveCar1,8.01,17.91,1.04,2.5
AggressiveCar2,8.15,18.21,1.27,2.5
AggressiveCar1,7.7,17.91,1.04,2.6
AggressiveCar2,7.83,18.21,1.27,2.6
AggressiveCar1,7.42,17.91,1.04,2.7
AggressiveCar2,7.54,18.21,1.27,2.7
AggressiveCar1,7.15,17.91,1.04,2.8
AggressiveCar2,7.27,18.21,1.27,2.8
AggressiveCar1,6.91,17.91,1.04,2.9
AggressiveCar2,7.02,18.21,1.27,2.9
AggressiveCar1,6.68,17.91,1.04,3.0
AggressiveCar2,6.79,18.21,1.27,3.0
AggressiveCar1,6.46,17.91,1.04,3.1
AggressiveCar2,6.57,18.21,1.27,3.1
AggressiveCar1,6.26,17.91,1.04,3.2
AggressiveCar2,6.36,18.21,1.27,3.2
AggressiveCar1,6.07,17.91,1.04,3.3
AggressiveCar2,6.17,18.21,1.27,3.3
AggressiveCar1,5.89,17.91,1.04,3.4
AggressiveCar2,5.99,18.21,1.27,3.4
AggressiveCar1,5.72,17.91,1.04,3.5
AggressiveCar2,5.82,18.21,1.27,3.5
AggressiveCar1,5.56,17.91,1.04,3.6
AggressiveCar2,5.66,18.21,1.27,3.6
AggressiveCar1,5.41,17.91,1.04,3.7
AggressiveCar2,5.5,18.21,1.27,3.7
AggressiveCar1,5.27,17.91,1.04,3.8
AggressiveCar2,5.36,18.21,1.27,3.8
AggressiveCar1,5.14,17.91,1.04,3.9
AggressiveCar2,5.22,18.21,1.27,3.9
AggressiveCar1,5.01,17.91,1.04,4.0
