Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.42,0.42,0.42,0.0
0.42,0.42,0.42,0.1
0.42,0.42,0.42,0.2
0.42,0.42,0.42,0.3
0.42,0.42,0.42,0.4
0.42,0.42,0.42,0.5
0.42,0.42,0.42,0.6
0.42,0.42,0.42,0.7
0.42,0.42,0.42,0.8
0.42,0.42,0.42,0.9
0.42,0.42,0.42,1.0
0.42,0.42,0.42,1.1
0.42,0.42,0.42,1.2
0.42,0.42,0.42,1.3
0.42,0.42,0.42,1.4
0.42,0.42,0.42,1.5
0.42,0.42,0.42,1.6
0.42,0.42,0.42,1.7
0.42,0.42,0.42,1.8
0.42,0.42,0.42,1.9
0.42,0.42,0.42,2.0
0.42,0.42,0.42,2.1
0.42,0.42,0.42,2.2
0.42,0.42,0.42,2.3
0.42,0.42,0.42,2.4
0.42,0.42,0.42,2.5
0.42,0.42,0.42,2.6
0.42,0.42,0.42,2.7
0.42,0.42,0.42,2.8
0.42,0.42,0.42,2.9
0.42,0.42,0.42,3.0
0.42,0.42,0.42,3.1
0.42,0.42,0.42,3.2
0.42,0.42,0.42,3.3
0.42,0.42,0.42,3.4
0.42,0.42,0.42,3.5
0.42,0.42,0.42,3.6
0.42,0.42,0.42,3.7
0.42,0.42,0.42,3.8
0.42,0.42,0.42,3.9
0.42,0.42,0.42,4.0
0.42,0.42,0.42,4.1
0.42,0.42,0.42,4.2
0.42,0.42,0.42,4.3
0.42,0.42,0.42,4.4
0.42,0.42,0.42,4.5
0.42,0.42,0.42,4.6
0.42,0.42,0.42,4.7
0.42,0.42,0.42,4.8
0.42,0.42,0.42,4.9
0.42,0.42,0.42,5.0
0.42,0.42,0.42,5.1
0.42,0.42,0.42,5.2
0.42,0.42,0.42,5.3
0.42,0.42,0.42,5.4
0.42,0.42,0.42,5.5
0.42,0.42,0.42,5.6
0.42,0.42,0.52,5.7
0.42,0.42,0.52,5.8
0.52,0.42,0.62,5.9
0.62,0.52,0.62,6.0
0.73,0.62,0.73,6.1
0.73,0.83,0.73,6.2
0.83,0.83,0.83,6.3
0.83,0.83,0.83,6.4
0.83,0.83,0.83,6.5
0.83,0.83,0.83,6.6
0.83,0.83,0.83,6.7
0.83,0.83,0.83,6.8
0.83,0.83,0.83,6.9
0.83,0.83,0.83,7.0
0.83,0.83,0.83,7.1
0.83,0.83,0.83,7.2
0.83,0.83,0.83,7.3
0.83,0.83,0.83,7.4
0.83,0.83,0.83,7.5
0.83,0.83,0.83,7.6
0.83,0.83,0.83,7.7
0.83,0.83,0.83,7.8
0.83,0.83,0.83,7.9
0.83,0.83,0.83,8.0
0.83,0.83,0.83,8.1
0.83,0.83,0.83,8.2
0.83,0.83,0.83,8.3
0.83,0.83,0.83,8.4
0.83,0.83,0.83,8.5
0.83,0.83,0.83,8.6
0.83,0.83,0.83,8.7
0.83,0.83,0.83,8.8
0.83,0.83,0.83,8.9
0.83,0.83,0.83,9.0
0.83,0.83,0.83,9.1
0.83,0.83,0.83,9.2
0.83,0.83,0.83,9.3
0.83,0.83,0.83,9.4
0.83,0.83,0.83,9.5
0.83,0.83,0.83,9.6
0.83,0.83,0.83,9.7
0.83,0.83,0.83,9.8
0.83,0.83,0.83,9.9
0.83,0.83,0.83,10.0
0.83,0.83,0.83,10.1
0.83,0.83,0.83,10.2
0.83,0.83,0.83,10.3
0.83,0.83,0.83,10.4
0.83,0.83,0.83,10.5
0.83,0.83,0.83,10.6
0.83,0.83,0.83,10.7
0.83,0.83,0.83,10.8
0.83,0.83,0.83,10.9
0.83,0.83,0.83,11.0
0.83,0.83,0.83,11.1
0.83,0.83,0.83,11.2
0.83,0.83,0.83,11.3
0.83,0.83,0.94,11.4
0.83,0.83,0.94,11.5
0.83,0.83,0.94,11.6
0.83,0.83,0.94,11.7
0.94,0.83,1.04,11.8
1.04,0.94,1.15,11.9
1.04,0.94,1.15,12.0
1.04,0.94,1.15,12.1
1.15,1.04,1.15,12.2
1.15,1.04,1.15,12.3
1.15,1.25,1.15,12.4
1.15,1.25,1.15,12.5
1.25,1.25,1.25,12.6
1.25,1.25,1.25,12.7
1.25,1.25,1.25,12.8
1.25,1.25,1.25,12.9
1.25,1.25,1.25,13.0
1.25,1.25,1.25,13.1
1.25,1.25,1.25,13.2
1.25,1.25,1.25,13.3
1.25,1.25,1.25,13.4
1.25,1.25,1.25,13.5
1.25,1.25,1.25,13.6
1.25,1.25,1.25,13.7
1.25,1.25,1.25,13.8
1.25,1.25,1.25,13.9
1.25,1.25,1.25,14.0
1.25,1.25,1.25,14.1
1.25,1.25,1.25,14.2
1.25,1.25,1.25,14.3
1.25,1.25,1.25,14.4
1.25,1.25,1.25,14.5
1.25,1.25,1.25,14.6
1.25,1.25,1.25,14.7
1.25,1.25,1.25,14.8
1.25,1.25,1.25,14.9
1.25,1.25,1.25,15.0
1.25,1.25,1.25,15.1
1.25,1.25,1.25,15.2
1.25,1.25,1.25,15.3
1.25,1.25,1.25,15.4
1.25,1.25,1.25,15.5
1.25,1.25,1.25,15.6
1.25,1.25,1.25,15.7
1.25,1.25,1.25,15.8
1.25,1.25,1.25,15.9
1.25,1.25,1.25,16.0
1.25,1.25,1.25,16.1
1.25,1.25,1.25,16.2
1.25,1.25,1.25,16.3
1.25,1.25,1.25,16.4
1.25,1.25,1.25,16.5
1.25,1.25,1.25,16.6
1.25,1.25,1.25,16.7
1.25,1.25,1.25,16.8
1.25,1.25,1.25,16.9
1.25,1.25,1.25,17.0
1.25,1.25,1.25,17.1
1.25,1.25,1.25,17.2
1.25,1.25,1.25,17.3
1.25,1.25,1.25,17.4
