Speed_(km/hr)_TL,Speed_(km/hr)_CAwSD4WI,Speed_(km/hr)_RN,Time_(secs)
0.45,0.45,0.45,0.0
0.89,0.89,0.89,0.1
1.34,1.34,1.34,0.2
1.79,1.79,1.79,0.3
2.24,2.24,2.24,0.4
2.68,2.68,2.68,0.5
3.13,3.13,3.13,0.6
3.58,3.58,3.58,0.7
4.03,4.03,4.03,0.8
4.47,4.47,4.47,0.9
4.92,4.92,4.92,1.0
5.37,5.37,5.37,1.1
5.82,5.82,5.82,1.2
6.26,6.26,6.26,1.3
6.71,6.71,6.71,1.4
7.16,7.16,7.16,1.5
7.61,7.61,7.61,1.6
8.05,8.05,8.05,1.7
8.5,8.5,8.5,1.8
8.95,8.95,8.95,1.9
9.4,9.4,9.4,2.0
9.84,9.84,9.84,2.1
10.29,10.29,10.29,2.2
10.74,10.74,10.74,2.3
11.19,11.19,11.19,2.4
11.63,11.63,11.63,2.5
12.08,12.08,12.08,2.6
12.53,12.53,12.53,2.7
12.97,12.97,12.97,2.8
13.42,13.42,13.42,2.9
13.87,13.87,13.87,3.0
14.32,14.32,14.32,3.1
14.76,14.76,14.76,3.2
15.21,15.21,15.21,3.3
15.66,15.66,15.66,3.4
16.11,16.11,16.11,3.5
16.55,16.55,16.55,3.6
17.0,17.0,17.0,3.7
17.45,17.45,17.45,3.8
17.9,17.9,17.9,3.9
18.34,18.34,18.34,4.0
18.79,18.79,18.79,4.1
19.24,19.24,19.24,4.2
19.69,19.69,19.69,4.3
20.13,20.13,20.13,4.4
20.58,20.58,20.58,4.5
21.03,21.03,21.03,4.6
21.48,21.48,21.48,4.7
21.92,21.92,21.92,4.8
22.15,22.15,22.15,4.9
22.37,22.37,22.37,5.0
22.59,22.59,22.59,5.1
22.59,22.59,22.59,5.2
22.59,22.59,22.59,5.3
22.59,22.59,22.59,5.4
22.59,22.59,22.59,5.5
22.59,22.59,22.59,5.6
22.59,22.59,18.16,5.7
22.59,22.59,18.25,5.8
18.16,22.59,15.36,5.9
15.29,18.16,15.51,6.0
13.29,15.29,13.49,6.1
13.49,11.69,13.68,6.2
12.02,11.91,12.19,6.3
12.25,12.14,12.42,6.4
12.47,12.36,12.64,6.5
12.69,12.58,12.86,6.6
12.92,12.81,13.09,6.7
13.14,13.03,13.31,6.8
13.37,13.25,13.53,6.9
13.59,13.48,13.76,7.0
13.81,13.7,13.98,7.1
14.04,13.93,14.2,7.2
14.26,14.15,14.43,7.3
14.48,14.37,14.65,7.4
14.71,14.6,14.88,7.5
14.93,14.82,15.1,7.6
15.16,15.04,15.32,7.7
15.38,15.27,15.55,7.8
15.6,15.49,15.77,7.9
15.83,15.71,15.99,8.0
16.05,15.94,16.22,8.1
16.27,16.16,16.44,8.2
16.5,16.39,16.67,8.3
16.72,16.61,16.89,8.4
16.95,16.83,17.11,8.5
17.17,17.06,17.34,8.6
17.39,17.28,17.56,8.7
17.62,17.5,17.78,8.8
17.84,17.73,18.01,8.9
18.06,17.95,18.23,9.0
18.29,18.18,18.46,9.1
18.51,18.4,18.68,9.2
18.73,18.62,18.9,9.3
18.96,18.85,19.13,9.4
19.18,19.07,19.35,9.5
19.41,19.29,19.57,9.6
19.63,19.52,19.8,9.7
19.85,19.74,20.02,9.8
20.08,19.97,20.24,9.9
20.3,20.19,20.47,10.0
20.52,20.41,20.69,10.1
20.75,20.64,20.92,10.2
20.97,20.86,21.14,10.3
21.2,21.08,21.36,10.4
21.42,21.31,21.59,10.5
21.64,21.53,21.78,10.6
21.87,21.75,21.98,10.7
22.06,21.98,22.15,10.8
22.23,22.17,22.29,10.9
22.37,22.34,22.4,11.0
22.48,22.45,22.48,11.1
22.54,22.54,22.54,11.2
22.57,22.59,22.57,11.3
22.59,22.59,20.13,11.4
22.59,22.59,20.18,11.5
22.59,22.59,20.23,11.6
22.59,22.59,20.28,11.7
20.13,22.59,18.34,11.8
18.21,20.13,16.8,11.9
18.3,20.18,16.92,12.0
18.39,20.23,17.04,12.1
16.84,18.3,17.16,12.2
16.96,18.39,17.29,12.3
17.08,15.47,17.41,12.4
17.2,15.62,17.53,12.5
15.92,15.77,16.22,12.6
16.07,15.92,16.37,12.7
16.22,16.07,16.52,12.8
16.37,16.22,16.67,12.9
16.52,16.37,16.81,13.0
16.67,16.52,16.96,13.1
16.81,16.67,17.11,13.2
16.96,16.81,17.26,13.3
17.11,16.96,17.41,13.4
17.26,17.11,17.56,13.5
17.41,17.26,17.71,13.6
17.56,17.41,17.86,13.7
17.71,17.56,18.01,13.8
17.86,17.71,18.16,13.9
18.01,17.86,18.31,14.0
18.16,18.01,18.46,14.1
18.31,18.16,18.6,14.2
18.46,18.31,18.75,14.3
18.6,18.46,18.9,14.4
18.75,18.6,19.05,14.5
18.9,18.75,19.2,14.6
19.05,18.9,19.35,14.7
19.2,19.05,19.5,14.8
19.35,19.2,19.65,14.9
19.5,19.35,19.8,15.0
19.65,19.5,19.95,15.1
19.8,19.65,20.1,15.2
19.95,19.8,20.24,15.3
20.1,19.95,20.39,15.4
20.24,20.1,20.54,15.5
20.39,20.24,20.69,15.6
20.54,20.39,20.84,15.7
20.69,20.54,20.99,15.8
20.84,20.69,21.14,15.9
20.99,20.84,21.29,16.0
21.14,20.99,21.44,16.1
21.29,21.14,21.59,16.2
21.44,21.29,21.72,16.3
21.59,21.44,21.85,16.4
21.74,21.59,21.98,16.5
21.89,21.74,22.09,16.6
22.02,21.89,22.18,16.7
22.13,22.02,22.26,16.8
22.24,22.15,22.33,16.9
22.33,22.28,22.39,17.0
22.39,22.37,22.43,17.1
22.44,22.46,22.46,17.2
22.5,22.52,22.5,17.3
22.54,22.56,22.54,17.4
22.56,22.59,22.56,17.5
22.58,22.59,22.58,17.6
20.89,22.59,19.43,17.7
19.46,20.89,18.22,17.8
18.25,20.92,18.31,17.9
18.34,20.96,18.4,18.0
18.43,20.99,18.49,18.1
18.52,19.4,18.58,18.2
18.61,17.09,18.67,18.3
18.7,17.2,18.76,18.4
18.79,17.2,18.85,18.5
18.88,17.17,18.94,18.6
18.97,17.22,19.03,18.7
19.06,17.34,17.95,18.8
17.98,17.45,18.06,18.9
18.09,17.56,18.18,19.0
18.2,17.67,18.29,19.1
18.32,17.78,18.4,19.2
18.43,17.9,18.51,19.3
18.54,18.01,18.62,19.4
18.65,18.12,18.73,19.5
18.76,18.23,18.85,19.6
16.05,18.34,18.96,19.7
16.16,18.46,19.07,19.8
16.27,18.57,19.18,19.9
16.39,18.68,19.29,20.0
16.5,18.79,19.41,20.1
16.61,18.9,19.52,20.2
16.72,19.01,19.63,20.3
16.83,19.13,19.74,20.4
16.95,19.24,19.85,20.5
17.06,19.35,19.97,20.6
17.17,19.46,20.08,20.7
17.28,19.57,20.19,20.8
17.39,19.69,20.3,20.9
17.5,19.8,20.41,21.0
17.62,19.91,20.52,21.1
17.73,20.02,20.64,21.2
17.84,20.13,20.75,21.3
17.95,20.24,20.86,21.4
18.06,20.36,20.97,21.5
18.18,20.47,21.08,21.6
18.29,20.58,21.2,21.7
16.99,20.69,21.31,21.8
15.69,20.8,21.42,21.9
15.8,20.92,21.53,22.0
15.91,21.03,21.64,22.1
16.02,21.14,21.75,22.2
16.13,21.25,21.87,22.3
16.25,21.36,21.98,22.4
16.36,21.48,22.09,22.5
16.46,21.59,22.17,22.6
16.54,21.7,22.24,22.7
16.61,21.81,22.31,22.8
16.67,21.92,22.36,22.9
16.71,22.03,22.38,23.0
16.74,22.15,22.41,23.1
15.8,22.23,21.15,23.2
15.86,22.31,21.2,23.3
15.91,22.4,21.25,23.4
15.96,22.45,21.3,23.5
16.01,22.51,21.36,23.6
15.2,22.54,21.4,23.7
14.01,22.57,20.27,23.8
14.07,21.29,20.33,23.9
13.41,21.32,20.38,24.0
12.29,21.34,20.43,24.1
12.36,21.26,19.43,24.2
12.43,21.26,19.5,24.3
12.5,21.26,19.57,24.4
12.57,21.26,19.64,24.5
12.64,20.11,19.71,24.6
12.72,19.12,19.78,24.7
12.79,19.12,19.85,24.8
12.86,18.16,19.92,24.9
12.93,18.21,19.01,25.0
13.0,18.25,19.1,25.1
13.07,18.34,19.19,25.2
12.5,18.43,19.28,25.3
12.59,18.52,19.37,25.4
12.68,18.61,19.46,25.5
12.77,18.7,19.55,25.6
11.73,18.79,19.64,25.7
10.69,18.88,19.73,25.8
10.78,18.97,19.82,25.9
10.87,19.06,19.91,26.0
10.96,19.15,20.0,26.1
11.05,19.24,20.09,26.2
11.14,19.33,20.18,26.3
11.23,19.42,20.27,26.4
11.32,19.51,20.36,26.5
11.41,19.6,20.45,26.6
11.5,19.69,20.54,26.7
11.59,19.78,20.63,26.8
11.68,19.86,20.71,26.9
11.77,19.95,20.8,27.0
11.86,20.04,20.89,27.1
11.95,20.13,20.98,27.2
12.04,20.22,21.07,27.3
12.12,20.31,21.16,27.4
12.21,20.4,21.25,27.5
12.3,20.49,21.34,27.6
12.39,20.58,21.43,27.7
12.48,20.67,21.52,27.8
12.57,20.76,21.61,27.9
12.66,20.85,21.7,28.0
12.74,20.94,21.78,28.1
12.82,21.03,21.86,28.2
11.77,21.12,21.93,28.3
11.83,21.21,22.0,28.4
11.9,21.3,22.07,28.5
11.96,21.39,22.13,28.6
12.01,21.48,21.16,28.7
10.94,21.56,21.23,28.8
10.97,21.65,21.3,28.9
11.01,21.74,21.37,29.0
11.04,21.83,21.42,29.1
11.06,21.92,21.48,29.2
11.08,22.01,21.53,29.3
11.11,22.1,21.57,29.4
11.13,22.19,21.61,29.5
11.15,22.27,21.66,29.6
11.17,22.35,21.7,29.7
11.2,22.41,21.74,29.8
11.22,22.47,20.8,29.9
11.24,22.53,20.85,30.0
10.75,22.55,20.91,30.1
10.78,22.57,20.95,30.2
10.81,21.54,20.99,30.3
10.84,21.56,21.03,30.4
10.87,21.52,21.07,30.5
10.89,21.52,20.21,30.6
10.91,21.52,20.27,30.7
10.93,21.52,20.33,30.8
10.95,21.52,20.39,30.9
10.97,20.56,20.44,31.0
10.99,19.72,20.5,31.1
11.01,19.72,19.72,31.2
11.04,19.7,19.8,31.3
11.06,19.72,19.87,31.4
11.08,18.94,19.95,31.5
11.1,19.01,20.02,31.6
10.64,19.09,20.1,31.7
10.68,19.16,20.17,31.8
10.72,19.24,20.24,31.9
10.76,19.31,20.32,32.0
10.8,19.39,20.39,32.1
10.84,19.46,20.47,32.2
10.88,19.54,20.54,32.3
10.92,19.61,20.62,32.4
10.96,19.69,20.69,32.5
11.0,19.76,20.77,32.6
11.04,19.83,20.84,32.7
11.08,19.91,20.92,32.8
11.12,19.98,20.99,32.9
11.16,20.06,21.06,33.0
11.21,20.13,21.14,33.1
11.25,20.21,21.21,33.2
11.29,20.28,21.29,33.3
11.33,20.36,21.36,33.4
11.37,20.43,21.44,33.5
11.41,20.51,21.5,33.6
11.45,20.58,21.57,33.7
11.49,20.65,21.63,33.8
11.53,20.73,21.69,33.9
11.57,20.8,21.75,34.0
11.61,20.88,21.8,34.1
11.65,20.95,21.86,34.2
11.69,21.03,21.91,34.3
11.73,21.1,21.97,34.4
11.77,21.18,22.02,34.5
11.82,21.25,22.08,34.6
11.86,21.33,22.14,34.7
11.9,21.4,22.18,34.8
11.94,21.48,21.36,34.9
11.97,21.55,21.42,35.0
12.0,21.62,21.48,35.1
12.03,21.7,21.53,35.2
12.05,21.77,21.58,35.3
12.07,21.85,21.64,35.4
12.09,21.92,21.68,35.5
12.11,22.0,21.73,35.6
12.13,22.07,21.77,35.7
12.15,22.15,21.81,35.8
12.17,22.22,21.84,35.9
12.19,22.29,21.05,36.0
12.21,22.35,21.1,36.1
11.72,22.42,21.14,36.2
11.76,22.47,21.18,36.3
11.8,22.52,21.22,36.4
11.84,22.55,21.25,36.5
11.87,22.57,21.29,36.6
11.9,22.59,21.32,36.7
11.92,22.59,20.58,36.8
11.94,22.59,20.63,36.9
11.96,22.59,19.96,37.0
11.98,22.59,20.02,37.1
12.0,21.71,20.08,37.2
12.02,21.73,20.15,37.3
12.04,21.69,20.21,37.4
12.06,20.12,20.28,37.5
12.08,20.12,20.34,37.6
12.1,20.13,20.4,37.7
12.12,20.15,20.47,37.8
12.14,20.17,20.53,37.9
12.16,20.22,20.6,38.0
11.69,19.56,20.66,38.1
11.73,19.62,20.72,38.2
11.76,19.69,20.79,38.3
11.8,19.75,20.85,38.4
11.84,19.81,20.92,38.5
11.87,19.88,20.98,38.6
11.91,19.94,21.04,38.7
11.95,20.01,21.11,38.8
11.99,20.07,21.17,38.9
12.02,20.13,21.24,39.0
12.06,20.2,21.3,39.1
12.1,20.26,21.36,39.2
12.14,20.32,21.43,39.3
12.17,20.39,21.49,39.4
12.21,20.45,21.55,39.5
12.25,20.52,21.62,39.6
12.28,20.58,21.68,39.7
12.32,20.64,21.74,39.8
12.36,20.71,21.79,39.9
12.4,20.77,21.85,40.0
12.43,20.84,21.9,40.1
12.47,20.9,21.95,40.2
12.51,20.96,21.99,40.3
12.55,21.03,22.04,40.4
12.58,21.09,22.09,40.5
12.62,21.16,22.14,40.6
12.66,21.22,22.19,40.7
12.69,21.28,22.23,40.8
12.73,21.35,22.27,40.9
12.77,21.41,22.31,41.0
12.8,21.48,21.6,41.1
12.83,21.54,21.64,41.2
12.85,21.6,21.69,41.3
12.87,21.67,21.74,41.4
12.89,21.73,21.78,41.5
12.91,21.79,21.83,41.6
12.93,21.86,21.87,41.7
12.95,21.92,21.91,41.8
12.97,21.99,21.94,41.9
12.98,22.05,21.96,42.0
13.0,22.11,21.98,42.1
13.02,22.18,21.28,42.2
13.04,22.24,21.31,42.3
13.06,22.3,20.67,42.4
13.08,22.35,20.71,42.5
13.1,22.41,20.75,42.6
13.11,22.46,20.8,42.7
12.63,22.51,20.84,42.8
12.66,22.54,20.88,42.9
12.69,22.56,20.93,43.0
12.72,22.59,20.97,43.1
12.74,22.59,21.01,43.2
12.76,22.59,21.06,43.3
12.78,22.59,21.1,43.4
12.8,22.59,21.14,43.5
12.81,21.83,20.54,43.6
12.83,21.1,20.59,43.7
12.85,21.09,20.65,43.8
12.87,20.42,20.71,43.9
12.89,20.44,20.76,44.0
12.9,20.45,20.82,44.1
12.92,20.46,20.87,44.2
12.94,20.48,20.93,44.3
12.48,19.88,20.99,44.4
12.51,19.94,21.04,44.5
12.54,19.99,21.1,44.6
12.58,20.05,21.15,44.7
12.61,20.1,21.21,44.8
12.65,20.16,21.27,44.9
12.68,20.22,21.32,45.0
12.72,20.27,21.38,45.1
12.75,20.33,21.43,45.2
12.79,20.38,21.49,45.3
12.82,20.44,21.55,45.4
12.85,20.5,21.6,45.5
12.89,20.55,21.66,45.6
12.92,20.61,21.71,45.7
12.96,20.66,21.77,45.8
12.99,20.72,21.82,45.9
13.03,20.78,21.87,46.0
13.06,20.83,21.92,46.1
13.1,20.89,21.97,46.2
13.13,20.94,22.01,46.3
13.16,21.0,22.06,46.4
13.2,21.06,22.1,46.5
13.23,21.11,22.14,46.6
13.27,21.17,22.18,46.7
13.3,21.22,22.22,46.8
13.34,21.28,22.27,46.9
13.37,21.34,22.31,47.0
13.4,21.39,22.34,47.1
13.44,21.45,21.71,47.2
13.47,21.5,21.75,47.3
13.51,21.56,21.79,47.4
13.54,21.61,21.82,47.5
13.58,21.67,21.85,47.6
13.6,21.73,21.88,47.7
13.63,21.78,21.9,47.8
13.65,21.84,21.93,47.9
13.67,21.89,21.96,48.0
13.69,21.95,21.98,48.1
13.71,22.01,22.01,48.2
13.72,22.06,22.04,48.3
13.74,22.12,21.43,48.4
13.76,22.17,21.46,48.5
13.77,22.23,21.49,48.6
13.79,22.29,21.53,48.7
13.81,22.33,20.95,48.8
13.83,22.38,20.99,48.9
13.84,22.43,21.03,49.0
13.86,22.47,21.07,49.1
13.88,22.52,21.1,49.2
13.89,22.54,21.14,49.3
13.4,22.57,21.18,49.4
13.42,22.59,21.22,49.5
13.44,22.59,21.26,49.6
13.46,22.59,21.3,49.7
13.47,21.92,21.33,49.8
13.49,21.91,21.37,49.9
13.5,21.91,21.41,50.0
13.52,21.28,21.45,50.1
13.54,21.26,20.9,50.2
13.55,21.28,20.95,50.3
13.57,21.29,21.0,50.4
13.59,21.3,21.05,50.5
13.6,21.32,21.1,50.6
13.15,21.33,21.15,50.7
13.18,20.18,21.2,50.8
13.25,20.23,21.25,50.9
13.31,20.28,21.3,51.0
13.37,20.33,21.35,51.1
13.44,20.38,21.4,51.2
13.5,20.43,21.45,51.3
13.57,20.48,21.5,51.4
13.63,20.53,21.55,51.5
13.73,20.58,21.6,51.6
13.82,20.63,21.65,51.7
13.92,20.68,21.7,51.8
14.01,20.73,21.75,51.9
14.11,20.78,21.8,52.0
14.2,20.83,21.84,52.1
14.3,20.88,21.89,52.2
14.43,20.93,21.93,52.3
14.56,20.98,21.97,52.4
14.68,21.03,22.0,52.5
14.81,21.08,22.04,52.6
14.94,21.13,22.08,52.7
15.07,21.18,22.12,52.8
15.2,21.23,22.15,52.9
15.36,21.28,22.19,53.0
15.52,21.33,22.23,53.1
15.67,21.38,22.26,53.2
15.83,21.43,21.7,53.3
15.99,21.48,21.75,53.4
16.15,21.52,21.79,53.5
16.31,21.57,21.83,53.6
16.47,21.62,21.86,53.7
16.63,21.67,21.89,53.8
16.79,21.72,21.92,53.9
16.95,21.77,21.94,54.0
17.11,21.82,21.96,54.1
17.27,21.87,21.99,54.2
17.42,21.92,22.01,54.3
17.58,21.97,22.04,54.4
17.73,22.02,22.06,54.5
17.87,22.07,21.52,54.6
18.02,22.12,21.55,54.7
18.16,22.17,21.59,54.8
18.3,22.22,21.62,54.9
18.45,22.27,21.66,55.0
18.59,22.32,21.69,55.1
18.73,22.36,21.17,55.2
18.88,22.41,21.21,55.3
19.02,22.45,21.25,55.4
19.17,22.49,21.28,55.5
19.3,22.53,21.31,55.6
19.44,22.55,21.35,55.7
19.54,22.55,21.38,55.8
19.62,22.53,21.42,55.9
19.03,22.48,21.45,56.0
19.09,22.43,21.49,56.1
19.18,21.78,21.52,56.2
19.28,21.72,21.56,56.3
19.37,21.66,21.59,56.4
19.45,21.05,21.62,56.5
19.53,20.99,21.66,56.6
19.61,20.95,21.69,56.7
19.67,20.91,21.2,56.8
19.73,20.87,21.24,56.9
19.15,20.83,21.28,57.0
19.23,20.79,21.33,57.1
19.29,19.73,21.37,57.2
19.35,19.73,21.42,57.3
19.41,19.73,21.46,57.4
19.46,19.72,21.51,57.5
19.5,19.72,21.55,57.6
19.55,19.71,21.6,57.7
19.6,19.71,21.64,57.8
19.63,19.7,21.69,57.9
19.66,19.7,21.73,58.0
19.69,19.69,21.78,58.1
19.09,19.69,21.82,58.2
19.12,19.69,21.86,58.3
19.15,19.68,21.89,58.4
19.18,19.68,21.93,58.5
19.21,19.67,21.96,58.6
19.24,19.67,22.0,58.7
19.27,19.66,22.03,58.8
19.3,19.66,22.06,58.9
18.74,19.65,22.1,59.0
18.78,19.65,22.13,59.1
18.82,19.66,22.16,59.2
18.88,19.69,22.2,59.3
18.99,19.75,21.7,59.4
19.05,19.77,21.74,59.5
19.16,19.82,21.78,59.6
19.22,19.83,21.81,59.7
19.33,19.88,21.85,59.8
19.39,19.89,21.88,59.9
