Aggres1,0.0,15.1,0.69,0.0
Aggres2,0.0,15.25,1.28,0.0
Ge1,0.0,16.29,0.16,0.0
Aggres3,0.0,17.87,1.12,0.0
Aggres1,168.89,15.1,0.69,0.1
Aggres2,170.61,15.25,1.28,0.1
Ge1,182.21,16.29,0.16,0.1
Aggres3,199.86,17.87,1.12,0.1
Aggres1,84.45,15.1,0.69,0.2
Aggres2,85.31,15.25,1.28,0.2
Ge1,91.1,16.29,0.16,0.2
Aggres3,99.93,17.87,1.12,0.2
Aggres1,56.3,15.1,0.69,0.3
Aggres2,56.87,15.25,1.28,0.3
Ge1,60.74,16.29,0.16,0.3
Aggres3,66.62,17.87,1.12,0.3
Aggres1,42.22,15.1,0.69,0.4
Aggres2,42.65,15.25,1.28,0.4
Ge1,45.55,16.29,0.16,0.4
Aggres3,49.96,17.87,1.12,0.4
Aggres1,33.78,15.1,0.69,0.5
Aggres2,34.12,15.25,1.28,0.5
Ge1,36.44,16.29,0.16,0.5
Aggres3,39.97,17.87,1.12,0.5
Aggres1,28.15,15.1,0.69,0.6
Aggres2,28.44,15.25,1.28,0.6
Ge1,30.37,16.29,0.16,0.6
Aggres3,33.31,17.87,1.12,0.6
Aggres1,24.13,15.1,0.69,0.7
Aggres2,24.37,15.25,1.28,0.7
Ge1,26.03,16.29,0.16,0.7
Aggres3,28.55,17.87,1.12,0.7
Aggres1,21.11,15.1,0.69,0.8
Aggres2,21.33,15.25,1.28,0.8
Ge1,22.78,16.29,0.16,0.8
Aggres3,24.98,17.87,1.12,0.8
Aggres1,18.77,15.1,0.69,0.9
Aggres2,18.96,15.25,1.28,0.9
Ge1,20.25,16.29,0.16,0.9
Aggres3,22.21,17.87,1.12,0.9
Aggres1,16.89,15.1,0.69,1.0
Aggres2,17.06,15.25,1.28,1.0
Ge1,18.22,16.29,0.16,1.0
Aggres3,19.99,17.87,1.12,1.0
Aggres1,15.35,15.1,0.69,1.1
Aggres2,15.51,15.25,1.28,1.1
Ge1,16.56,16.29,0.16,1.1
Aggres3,18.17,17.87,1.12,1.1
Aggres1,14.07,15.1,0.69,1.2
Aggres2,14.22,15.25,1.28,1.2
Ge1,15.18,16.29,0.16,1.2
Aggres3,16.65,17.87,1.12,1.2
Aggres1,12.99,15.1,0.69,1.3
Aggres2,13.12,15.25,1.28,1.3
Ge1,14.02,16.29,0.16,1.3
Aggres3,15.37,17.87,1.12,1.3
Aggres1,12.06,15.1,0.69,1.4
Aggres2,12.19,15.25,1.28,1.4
Ge1,13.01,16.29,0.16,1.4
Aggres3,14.28,17.87,1.12,1.4
Aggres1,11.26,15.1,0.69,1.5
Aggres2,11.37,15.25,1.28,1.5
Ge1,12.15,16.29,0.16,1.5
Aggres3,13.32,17.87,1.12,1.5
Aggres1,10.56,15.1,0.69,1.6
Aggres2,10.66,15.25,1.28,1.6
Ge1,11.39,16.29,0.16,1.6
Aggres3,12.49,17.87,1.12,1.6
Aggres1,9.93,15.1,0.69,1.7
Aggres2,10.04,15.25,1.28,1.7
Ge1,10.72,16.29,0.16,1.7
Aggres3,11.76,17.87,1.12,1.7
Aggres1,9.38,15.1,0.69,1.8
Aggres2,9.48,15.25,1.28,1.8
Ge1,10.12,16.29,0.16,1.8
Aggres3,11.1,17.87,1.12,1.8
Aggres1,8.89,15.1,0.69,1.9
Aggres2,8.98,15.25,1.28,1.9
Ge1,9.59,16.29,0.16,1.9
Aggres3,10.52,17.87,1.12,1.9
Aggres1,8.44,15.1,0.69,2.0
Aggres2,8.53,15.25,1.28,2.0
Ge1,9.11,16.29,0.16,2.0
Aggres3,9.99,17.87,1.12,2.0
Aggres1,8.04,15.1,0.69,2.1
Aggres2,8.12,15.25,1.28,2.1
Ge1,8.68,16.29,0.16,2.1
Aggres3,9.52,17.87,1.12,2.1
Aggres1,7.68,15.1,0.69,2.2
Aggres2,7.76,15.25,1.28,2.2
Ge1,8.28,16.29,0.16,2.2
Aggres3,9.08,17.87,1.12,2.2
Aggres1,7.34,15.1,0.69,2.3
Aggres2,7.42,15.25,1.28,2.3
Ge1,7.92,16.29,0.16,2.3
Aggres3,8.69,17.87,1.12,2.3
Aggres1,7.04,15.1,0.69,2.4
Aggres2,7.11,15.25,1.28,2.4
Ge1,7.59,16.29,0.16,2.4
Aggres3,8.33,17.87,1.12,2.4
Aggres1,6.76,15.1,0.69,2.5
Aggres2,6.82,15.25,1.28,2.5
Ge1,7.29,16.29,0.16,2.5
Aggres3,7.99,17.87,1.12,2.5
Aggres1,6.5,15.1,0.69,2.6
Aggres2,6.56,15.25,1.28,2.6
Ge1,7.01,16.29,0.16,2.6
Aggres3,7.69,17.87,1.12,2.6
Aggres1,6.26,15.1,0.69,2.7
Aggres2,6.32,15.25,1.28,2.7
Ge1,6.75,16.29,0.16,2.7
Aggres3,7.4,17.87,1.12,2.7
Aggres1,6.03,15.1,0.69,2.8
Aggres2,6.09,15.25,1.28,2.8
Ge1,6.51,16.29,0.16,2.8
Aggres3,7.14,17.87,1.12,2.8
Aggres1,5.82,15.1,0.69,2.9
Aggres2,5.88,15.25,1.28,2.9
Ge1,6.28,16.29,0.16,2.9
Aggres3,6.89,17.87,1.12,2.9
Aggres1,5.63,15.1,0.69,3.0
Aggres2,5.69,15.25,1.28,3.0
Ge1,6.07,16.29,0.16,3.0
Aggres3,6.66,17.87,1.12,3.0
Aggres1,5.45,15.1,0.69,3.1
Aggres2,5.5,15.25,1.28,3.1
Ge1,5.88,16.29,0.16,3.1
Aggres3,6.45,17.87,1.12,3.1
Aggres1,5.28,15.1,0.69,3.2
Aggres2,5.33,15.25,1.28,3.2
Ge1,5.69,16.29,0.16,3.2
Aggres3,6.25,17.87,1.12,3.2
Aggres1,5.12,15.1,0.69,3.3
Aggres2,5.17,15.25,1.28,3.3
Ge1,5.52,16.29,0.16,3.3
Aggres3,6.06,17.87,1.12,3.3
Aggres1,4.97,15.1,0.69,3.4
Aggres2,5.02,15.25,1.28,3.4
Ge1,5.36,16.29,0.16,3.4
Aggres3,5.88,17.87,1.12,3.4
Aggres1,4.83,15.1,0.69,3.5
Aggres2,4.87,15.25,1.28,3.5
Ge1,5.21,16.29,0.16,3.5
Aggres3,5.71,17.87,1.12,3.5
Aggres1,4.69,15.1,0.69,3.6
Aggres2,4.74,15.25,1.28,3.6
Ge1,5.06,16.29,0.16,3.6
Aggres3,5.55,17.87,1.12,3.6
Aggres1,4.56,15.1,0.69,3.7
Aggres2,4.61,15.25,1.28,3.7
Ge1,4.92,16.29,0.16,3.7
Aggres3,5.4,17.87,1.12,3.7
Aggres1,4.44,15.1,0.69,3.8
Aggres2,4.49,15.25,1.28,3.8
Ge1,4.79,16.29,0.16,3.8
Aggres3,5.26,17.87,1.12,3.8
Aggres1,4.33,15.1,0.69,3.9
Aggres2,4.37,15.25,1.28,3.9
Ge1,4.67,16.29,0.16,3.9
Aggres3,5.12,17.87,1.12,3.9
Aggres1,4.22,15.1,0.69,4.0
Aggres2,4.27,15.25,1.28,4.0
Ge1,4.56,16.29,0.16,4.0
Aggres3,5.0,17.87,1.12,4.0
Aggres1,4.12,15.1,0.69,4.1
Aggres2,4.16,15.25,1.28,4.1
Ge1,4.44,16.29,0.16,4.1
Aggres3,4.87,17.87,1.12,4.1
Aggres1,4.02,15.1,0.69,4.2
Aggres2,4.06,15.25,1.28,4.2
Ge1,4.34,16.29,0.16,4.2
Aggres3,4.76,17.87,1.12,4.2
Aggres1,3.93,15.1,0.69,4.3
Aggres2,3.97,15.25,1.28,4.3
Ge1,4.24,16.29,0.16,4.3
Aggres3,4.65,17.87,1.12,4.3
Aggres1,3.84,15.1,0.69,4.4
Aggres2,3.88,15.25,1.28,4.4
Ge1,4.14,16.29,0.16,4.4
Aggres3,4.54,17.87,1.12,4.4
Aggres1,3.75,15.1,0.69,4.5
Aggres2,3.79,15.25,1.28,4.5
Ge1,4.05,16.29,0.16,4.5
Aggres3,4.44,17.87,1.12,4.5
Aggres1,3.67,15.1,0.69,4.6
Aggres2,3.71,15.25,1.28,4.6
Ge1,3.96,16.29,0.16,4.6
Aggres3,4.34,17.87,1.12,4.6
Aggres1,3.59,15.1,0.69,4.7
Aggres2,3.63,15.25,1.28,4.7
Ge1,3.88,16.29,0.16,4.7
Aggres3,4.25,17.87,1.12,4.7
Aggres1,3.52,15.1,0.69,4.8
Aggres2,3.55,15.25,1.28,4.8
Ge1,3.8,16.29,0.16,4.8
Aggres3,4.16,17.87,1.12,4.8
Aggres1,3.45,15.1,0.69,4.9
Aggres2,3.48,15.25,1.28,4.9
Ge1,3.72,16.29,0.16,4.9
Aggres3,4.08,17.87,1.12,4.9
Aggres1,3.41,15.1,0.69,5.0
Aggres2,3.45,15.25,1.28,5.0
Ge1,3.68,16.29,0.16,5.0
Aggres3,4.04,17.87,1.12,5.0
Aggres1,3.38,15.1,0.69,5.1
Aggres2,3.41,15.25,1.28,5.1
Ge1,3.64,16.29,0.16,5.1
Aggres3,4.0,17.87,1.12,5.1
Aggres1,3.34,15.1,0.69,5.2
Aggres2,3.38,15.25,1.28,5.2
Ge1,3.61,16.29,0.16,5.2
Aggres3,3.96,17.87,1.12,5.2
Aggres1,3.34,15.1,0.69,5.3
Aggres2,3.38,15.25,1.28,5.3
Ge1,3.61,16.29,0.16,5.3
Aggres3,3.96,17.87,1.12,5.3
Aggres1,3.34,15.1,0.69,5.4
Aggres2,3.38,15.25,1.28,5.4
Ge1,3.61,16.29,0.16,5.4
Aggres3,3.96,17.87,1.12,5.4
Aggres1,3.34,15.1,0.69,5.5
Aggres2,3.38,15.25,1.28,5.5
Ge1,3.61,16.29,0.16,5.5
Aggres3,3.96,17.87,1.12,5.5
Aggres1,3.34,15.1,0.69,5.6
Aggres2,3.38,15.25,1.28,5.6
Ge1,3.61,16.29,0.16,5.6
Aggres3,3.96,17.87,1.12,5.6
Ge2,0.0,16.29,0.16,0.0
Aggres1,3.34,15.1,0.69,5.7
Aggres2,3.38,15.25,1.28,5.7
Ge1,3.61,16.29,0.16,5.7
Aggres3,3.96,17.87,1.12,5.7
Ge2,182.21,16.29,0.16,0.1
Aggres1,3.34,15.1,0.69,5.8
Aggres2,3.38,15.25,1.28,5.8
Ge1,3.61,16.29,0.16,5.8
Aggres3,3.96,17.87,1.12,5.8
Ge2,91.1,16.29,0.16,0.2
Aggres1,3.34,15.1,0.69,5.9
Aggres2,3.38,15.25,1.28,5.9
Ge1,3.61,16.29,0.16,5.9
Aggres3,3.96,17.87,1.12,5.9
Ge2,60.74,16.29,0.16,0.3
Aggres1,3.34,15.1,0.69,6.0
Aggres2,3.38,15.25,1.28,6.0
Ge1,3.61,16.29,0.16,6.0
Aggres3,3.96,17.87,1.12,6.0
Ge2,45.55,16.29,0.16,0.4
Aggres1,3.34,15.1,0.69,6.1
Aggres2,3.38,15.25,1.28,6.1
Ge1,3.61,16.29,0.16,6.1
Aggres3,3.96,17.87,1.12,6.1
Ge2,36.44,16.29,0.16,0.5
Aggres4,0.0,15.1,0.69,0.0
Aggres1,3.34,15.1,0.69,6.2
Aggres2,3.38,15.25,1.28,6.2
Ge1,3.61,16.29,0.16,6.2
Aggres3,3.96,17.87,1.12,6.2
Ge2,30.37,16.29,0.16,0.6
Aggres4,168.89,15.1,0.69,0.1
Aggres1,3.34,15.1,0.69,6.3
Aggres2,3.38,15.25,1.28,6.3
Ge1,3.61,16.29,0.16,6.3
Aggres3,3.96,17.87,1.12,6.3
Ge2,26.03,16.29,0.16,0.7
Aggres4,84.45,15.1,0.69,0.2
Aggres1,3.34,15.1,0.69,6.4
Aggres2,3.38,15.25,1.28,6.4
Ge1,3.61,16.29,0.16,6.4
Aggres3,3.96,17.87,1.12,6.4
Ge2,22.78,16.29,0.16,0.8
Aggres4,56.3,15.1,0.69,0.3
Aggres5,0.0,15.25,1.28,0.0
Aggres1,3.34,15.1,0.69,6.5
Aggres2,3.38,15.25,1.28,6.5
Ge1,3.61,16.29,0.16,6.5
Aggres3,3.96,17.87,1.12,6.5
Ge2,20.25,16.29,0.16,0.9
Aggres4,42.22,15.1,0.69,0.4
Aggres5,170.61,15.25,1.28,0.1
Aggres1,3.34,15.1,0.69,6.6
Aggres2,3.38,15.25,1.28,6.6
Ge1,3.61,16.29,0.16,6.6
Aggres3,3.96,17.87,1.12,6.6
Ge2,18.22,16.29,0.16,1.0
Aggres4,33.78,15.1,0.69,0.5
Aggres5,85.31,15.25,1.28,0.2
Aggres1,3.34,15.1,0.69,6.7
Aggres2,3.38,15.25,1.28,6.7
Ge1,3.61,16.29,0.16,6.7
Aggres3,3.96,17.87,1.12,6.7
Ge2,16.56,16.29,0.16,1.1
Aggres4,28.15,15.1,0.69,0.6
Aggres5,56.87,15.25,1.28,0.3
Aggres1,3.34,15.1,0.69,6.8
Aggres2,3.38,15.25,1.28,6.8
Ge1,3.61,16.29,0.16,6.8
Aggres3,3.96,17.87,1.12,6.8
Ge2,15.18,16.29,0.16,1.2
Aggres4,24.13,15.1,0.69,0.7
Aggres5,42.65,15.25,1.28,0.4
Aggres6,0.0,17.87,1.12,0.0
Aggres1,3.34,15.1,0.69,6.9
Aggres2,3.38,15.25,1.28,6.9
Ge1,3.61,16.29,0.16,6.9
Aggres3,3.96,17.87,1.12,6.9
Ge2,14.02,16.29,0.16,1.3
Aggres4,21.11,15.1,0.69,0.8
Aggres5,34.12,15.25,1.28,0.5
Aggres6,199.86,17.87,1.12,0.1
Aggres1,3.34,15.1,0.69,7.0
Aggres2,3.38,15.25,1.28,7.0
Ge1,3.61,16.29,0.16,7.0
Aggres3,3.96,17.87,1.12,7.0
Ge2,13.01,16.29,0.16,1.4
Aggres4,18.77,15.1,0.69,0.9
Aggres5,28.44,15.25,1.28,0.6
Aggres6,99.93,17.87,1.12,0.2
Aggres1,3.34,15.1,0.69,7.1
Aggres2,3.38,15.25,1.28,7.1
Ge1,3.61,16.29,0.16,7.1
Aggres3,3.96,17.87,1.12,7.1
Ge2,12.15,16.29,0.16,1.5
Aggres4,16.89,15.1,0.69,1.0
Aggres5,24.37,15.25,1.28,0.7
Aggres6,66.62,17.87,1.12,0.3
Aggres1,3.34,15.1,0.69,7.2
Aggres2,3.38,15.25,1.28,7.2
Ge1,3.61,16.29,0.16,7.2
Aggres3,3.96,17.87,1.12,7.2
Ge2,11.39,16.29,0.16,1.6
Aggres4,15.35,15.1,0.69,1.1
Aggres5,21.33,15.25,1.28,0.8
Aggres6,49.96,17.87,1.12,0.4
Aggres1,3.34,15.1,0.69,7.3
Aggres2,3.38,15.25,1.28,7.3
Ge1,3.61,16.29,0.16,7.3
Aggres3,3.96,17.87,1.12,7.3
Ge2,10.72,16.29,0.16,1.7
Aggres4,14.07,15.1,0.69,1.2
Aggres5,18.96,15.25,1.28,0.9
Aggres6,39.97,17.87,1.12,0.5
Aggres1,3.34,15.1,0.69,7.4
Aggres2,3.38,15.25,1.28,7.4
Ge1,3.61,16.29,0.16,7.4
Aggres3,3.96,17.87,1.12,7.4
Ge2,10.12,16.29,0.16,1.8
