car_name,speed,safe_distance,reaction_time,stopping_time
AggressiveCar2,7.8,10.79,0.3,1.38
AggressiveCar3,2.1,3.15,0.3,1.5
AggressiveCar4,1.8,2.79,0.3,1.55
AggressiveCar1,7.9,11.74,0.3,1.49
AggressiveCar2,7.9,10.63,0.3,1.35
AggressiveCar3,2.2,3.38,0.3,1.54
AggressiveCar4,1.9,2.99,0.3,1.57
AggressiveCar1,8.0,11.25,0.3,1.41
AggressiveCar2,8.0,11.72,0.3,1.47
AggressiveCar3,2.3,3.58,0.3,1.56
AggressiveCar4,2.0,3.2,0.3,1.6
AggressiveCar1,8.1,11.83,0.3,1.46
AggressiveCar2,8.1,11.21,0.3,1.38
AggressiveCar3,2.4,3.75,0.3,1.56
AggressiveCar4,2.1,3.27,0.3,1.56
AggressiveCar1,8.2,11.95,0.3,1.46
AggressiveCar2,8.2,11.76,0.3,1.43
AggressiveCar3,2.5,3.85,0.3,1.54
AggressiveCar4,2.2,3.4,0.3,1.55
AggressiveCar1,8.3,11.44,0.3,1.38
AggressiveCar2,8.3,11.66,0.3,1.4
AggressiveCar3,2.6,4.07,0.3,1.57
AggressiveCar4,2.3,3.62,0.3,1.57
AggressiveCar1,8.4,11.33,0.3,1.35
AggressiveCar2,8.4,11.99,0.3,1.43
AggressiveCar3,2.7,4.14,0.3,1.53
AggressiveCar4,2.4,3.54,0.3,1.48
AggressiveCar1,8.5,11.47,0.3,1.35
AggressiveCar2,8.5,12.19,0.3,1.43
AggressiveCar3,2.8,4.04,0.3,1.44
AggressiveCar4,2.5,3.75,0.3,1.5
AggressiveCar1,8.6,11.71,0.3,1.36
AggressiveCar2,8.6,11.83,0.3,1.38
AggressiveCar3,2.9,4.41,0.3,1.52
AggressiveCar4,2.6,3.85,0.3,1.48
AggressiveCar1,8.7,12.49,0.3,1.44
AggressiveCar2,8.7,12.37,0.3,1.42
AggressiveCar3,3.0,4.5,0.3,1.5
AggressiveCar4,2.7,4.0,0.3,1.48
AggressiveCar1,8.8,12.27,0.3,1.39
AggressiveCar2,8.8,12.4,0.3,1.41
AggressiveCar3,3.1,4.52,0.3,1.46
AggressiveCar4,2.8,4.04,0.3,1.44
AggressiveCar1,8.9,12.75,0.3,1.43
AggressiveCar2,8.9,12.35,0.3,1.39
AggressiveCar3,3.2,4.52,0.3,1.41
AggressiveCar4,2.9,4.43,0.3,1.53
AggressiveCar1,9.0,12.1,0.3,1.34
AggressiveCar2,9.0,12.85,0.3,1.43
AggressiveCar3,3.3,4.96,0.3,1.5
AggressiveCar4,3.0,4.39,0.3,1.46
AggressiveCar1,9.1,13.31,0.3,1.46
AggressiveCar2,9.1,12.67,0.3,1.39
AggressiveCar3,3.4,4.79,0.3,1.41
AggressiveCar4,3.1,4.7,0.3,1.52
AggressiveCar1,9.2,13.04,0.3,1.42
AggressiveCar2,9.2,12.9,0.3,1.4
AggressiveCar3,3.5,4.9,0.3,1.4
AggressiveCar4,3.2,4.67,0.3,1.46
AggressiveCar1,9.3,13.44,0.3,1.45
AggressiveCar2,9.3,13.77,0.3,1.48
AggressiveCar3,3.6,5.17,0.3,1.44
AggressiveCar4,3.3,4.95,0.3,1.5
AggressiveCar1,9.4,12.73,0.3,1.35
AggressiveCar2,9.4,13.12,0.3,1.4
AggressiveCar3,3.7,5.47,0.3,1.48
AggressiveCar4,3.4,5.13,0.3,1.51
AggressiveCar1,9.5,14.02,0.3,1.48
AggressiveCar2,9.5,13.87,0.3,1.46
AggressiveCar3,3.8,5.74,0.3,1.51
AggressiveCar4,3.5,4.93,0.3,1.41
AggressiveCar1,9.6,13.15,0.3,1.37
AggressiveCar2,9.6,12.87,0.3,1.34
AggressiveCar3,3.9,5.49,0.3,1.41
AggressiveCar4,3.6,5.22,0.3,1.45
AggressiveCar1,9.7,13.39,0.3,1.38
AggressiveCar2,9.7,14.21,0.3,1.46
AggressiveCar3,4.0,5.77,0.3,1.44
AggressiveCar4,3.7,5.65,0.3,1.53
AggressiveCar1,9.8,14.27,0.3,1.46
AggressiveCar2,9.8,13.58,0.3,1.39
AggressiveCar3,4.1,6.24,0.3,1.52
AggressiveCar4,3.8,5.68,0.3,1.49
AggressiveCar1,9.9,14.2,0.3,1.43
AggressiveCar2,9.9,13.81,0.3,1.39
AggressiveCar3,4.2,5.91,0.3,1.41
AggressiveCar4,3.9,5.71,0.3,1.46
AggressiveCar1,10.0,14.75,0.3,1.48
AggressiveCar2,10.0,14.32,0.3,1.43
AggressiveCar3,4.3,5.97,0.3,1.39
AggressiveCar4,4.0,5.84,0.3,1.46
AggressiveCar1,10.0,13.36,0.3,1.34
AggressiveCar2,10.0,14.58,0.3,1.46
AggressiveCar3,4.4,6.48,0.3,1.47
AggressiveCar4,4.1,5.91,0.3,1.44
AggressiveCar1,10.0,14.15,0.3,1.42
AggressiveCar2,10.0,14.36,0.3,1.44
AggressiveCar3,4.5,6.26,0.3,1.39
AggressiveCar4,4.2,5.91,0.3,1.41
AggressiveCar1,10.0,13.67,0.3,1.37
AggressiveCar2,10.0,14.79,0.3,1.48
AggressiveCar3,4.6,6.86,0.3,1.49
AggressiveCar4,4.3,6.05,0.3,1.41
AggressiveCar1,10.0,14.23,0.3,1.42
AggressiveCar2,10.0,13.84,0.3,1.38
AggressiveCar3,4.7,6.47,0.3,1.38
AggressiveCar4,4.4,6.51,0.3,1.48
AggressiveCar1,10.0,13.59,0.3,1.36
AggressiveCar2,10.0,14.6,0.3,1.46
AggressiveCar3,4.8,7.11,0.3,1.48
AggressiveCar4,4.5,6.17,0.3,1.37
AggressiveCar1,10.0,13.58,0.3,1.36
AggressiveCar2,10.0,14.39,0.3,1.44
AggressiveCar3,4.9,6.72,0.3,1.37
AggressiveCar4,4.6,6.81,0.3,1.48
AggressiveCar1,10.0,13.93,0.3,1.39
AggressiveCar2,10.0,13.92,0.3,1.39
AggressiveCar3,5.0,7.02,0.3,1.4
AggressiveCar4,4.7,6.66,0.3,1.42
AggressiveCar1,10.0,14.08,0.3,1.41
AggressiveCar2,10.0,14.62,0.3,1.46
AggressiveCar3,5.1,7.55,0.3,1.48
AggressiveCar4,4.8,6.78,0.3,1.41
AggressiveCar1,10.0,14.61,0.3,1.46
AggressiveCar2,10.0,14.27,0.3,1.43
AggressiveCar3,5.2,7.81,0.3,1.5
AggressiveCar4,4.9,6.92,0.3,1.41
AggressiveCar1,10.0,14.16,0.3,1.42
AggressiveCar2,10.0,14.04,0.3,1.4
AggressiveCar3,5.3,7.53,0.3,1.42
AggressiveCar4,5.0,7.04,0.3,1.41
AggressiveCar1,10.0,13.71,0.3,1.37
AggressiveCar2,10.0,13.57,0.3,1.36
AggressiveCar3,5.4,7.38,0.3,1.37
AggressiveCar4,5.1,7.0,0.3,1.37
AggressiveCar1,10.0,14.29,0.3,1.43
AggressiveCar2,10.0,14.3,0.3,1.43
AggressiveCar3,5.5,7.88,0.3,1.43
AggressiveCar4,5.2,7.7,0.3,1.48
AggressiveCar1,10.0,14.58,0.3,1.46
AggressiveCar2,10.0,13.65,0.3,1.36
AggressiveCar3,5.6,7.96,0.3,1.42
AggressiveCar4,5.3,7.94,0.3,1.5
AggressiveCar1,10.0,14.09,0.3,1.41
AggressiveCar2,10.0,13.7,0.3,1.37
AggressiveCar3,5.7,8.16,0.3,1.43
AggressiveCar4,5.4,7.69,0.3,1.42
AggressiveCar1,10.0,14.04,0.3,1.4
AggressiveCar2,10.0,13.56,0.3,1.36
AggressiveCar3,5.8,8.21,0.3,1.42
AggressiveCar4,5.5,8.14,0.3,1.48
AggressiveCar5,0.1,0.44,0.3,4.4
AggressiveCar1,10.0,14.54,0.3,1.45
AggressiveCar2,10.0,13.63,0.3,1.36
AggressiveCar3,5.9,8.77,0.3,1.49
AggressiveCar4,5.6,8.25,0.3,1.47
AggressiveCar5,0.2,0.58,0.3,2.9
AggressiveCar1,10.0,13.75,0.3,1.38
AggressiveCar2,10.0,13.34,0.3,1.33
AggressiveCar3,6.0,8.61,0.3,1.43
AggressiveCar4,5.7,8.39,0.3,1.47
AggressiveCar5,0.3,0.73,0.3,2.43
AggressiveCar1,10.0,14.34,0.3,1.43
AggressiveCar2,10.0,13.78,0.3,1.38
AggressiveCar3,6.1,8.57,0.3,1.4
AggressiveCar4,5.8,7.95,0.3,1.37
AggressiveCar5,0.4,0.83,0.3,2.07
AggressiveCar6,0.1,0.44,0.3,4.4
AggressiveCar1,10.0,13.46,0.3,1.35
AggressiveCar2,10.0,14.63,0.3,1.46
AggressiveCar3,6.2,8.7,0.3,1.4
AggressiveCar4,5.9,8.59,0.3,1.46
AggressiveCar5,0.5,1.02,0.3,2.04
AggressiveCar6,0.2,0.57,0.3,2.85
AggressiveCar1,10.0,13.74,0.3,1.37
AggressiveCar2,10.0,14.67,0.3,1.47
AggressiveCar3,6.3,9.26,0.3,1.47
AggressiveCar4,6.0,8.84,0.3,1.47
AggressiveCar5,0.6,1.15,0.3,1.92
AggressiveCar6,0.3,0.72,0.3,2.4
AggressiveCar1,10.0,13.58,0.3,1.36
AggressiveCar2,10.0,14.74,0.3,1.47
AggressiveCar3,6.4,8.92,0.3,1.39
AggressiveCar4,6.1,8.54,0.3,1.4
AggressiveCar5,0.7,1.27,0.3,1.81
AggressiveCar6,0.4,0.86,0.3,2.15
AggressiveCar1,10.0,14.49,0.3,1.45
AggressiveCar2,10.0,13.63,0.3,1.36
AggressiveCar3,6.5,9.48,0.3,1.46
AggressiveCar4,6.2,9.18,0.3,1.48
AggressiveCar5,0.8,1.42,0.3,1.77
AggressiveCar6,0.5,0.97,0.3,1.94
AggressiveCar1,10.0,13.44,0.3,1.34
AggressiveCar2,10.0,13.86,0.3,1.39
AggressiveCar3,6.6,9.3,0.3,1.41
AggressiveCar4,6.3,9.42,0.3,1.5
AggressiveCar5,0.9,1.48,0.3,1.64
AggressiveCar6,0.6,1.11,0.3,1.85
AggressiveCar1,10.0,13.83,0.3,1.38
AggressiveCar2,10.0,14.0,0.3,1.4
AggressiveCar3,6.7,9.27,0.3,1.38
AggressiveCar4,6.4,9.45,0.3,1.48
AggressiveCar5,1.0,1.73,0.3,1.73
AggressiveCar6,0.7,1.29,0.3,1.84
AggressiveCar1,10.0,13.55,0.3,1.35
AggressiveCar2,10.0,13.5,0.3,1.35
AggressiveCar3,6.8,9.86,0.3,1.45
AggressiveCar4,6.5,9.14,0.3,1.41
AggressiveCar5,1.1,1.87,0.3,1.7
AggressiveCar6,0.8,1.42,0.3,1.77
AggressiveCar1,10.0,13.63,0.3,1.36
AggressiveCar2,10.0,13.41,0.3,1.34
AggressiveCar3,6.9,10.06,0.3,1.46
AggressiveCar4,6.6,9.03,0.3,1.37
AggressiveCar5,1.2,1.9,0.3,1.58
AggressiveCar6,0.9,1.47,0.3,1.63
