Aggres1,0.0,19.31,1.51,0.0
Aggres2,0.0,15.95,0.77,0.0
Ge1,0.0,15.07,0.19,0.0
Aggres3,0.0,17.83,1.53,0.0
Aggres1,216.02,19.31,1.51,0.1
Aggres2,178.38,15.95,0.77,0.1
Ge1,168.53,15.07,0.19,0.1
Aggres3,199.48,17.83,1.53,0.1
Aggres1,108.01,19.31,1.51,0.2
Aggres2,89.19,15.95,0.77,0.2
Ge1,84.27,15.07,0.19,0.2
Aggres3,99.74,17.83,1.53,0.2
Aggres1,72.01,19.31,1.51,0.3
Aggres2,59.46,15.95,0.77,0.3
Ge1,56.18,15.07,0.19,0.3
Aggres3,66.49,17.83,1.53,0.3
Aggres1,54.0,19.31,1.51,0.4
Aggres2,44.59,15.95,0.77,0.4
Ge1,42.13,15.07,0.19,0.4
Aggres3,49.87,17.83,1.53,0.4
Aggres1,43.2,19.31,1.51,0.5
Aggres2,35.68,15.95,0.77,0.5
Ge1,33.71,15.07,0.19,0.5
Aggres3,39.9,17.83,1.53,0.5
Aggres1,36.0,19.31,1.51,0.6
Aggres2,29.73,15.95,0.77,0.6
Ge1,28.09,15.07,0.19,0.6
Aggres3,33.25,17.83,1.53,0.6
Aggres1,30.86,19.31,1.51,0.7
Aggres2,25.48,15.95,0.77,0.7
Ge1,24.08,15.07,0.19,0.7
Aggres3,28.5,17.83,1.53,0.7
Aggres1,27.0,19.31,1.51,0.8
Aggres2,22.3,15.95,0.77,0.8
Ge1,21.07,15.07,0.19,0.8
Aggres3,24.93,17.83,1.53,0.8
Aggres1,24.0,19.31,1.51,0.9
Aggres2,19.82,15.95,0.77,0.9
Ge1,18.73,15.07,0.19,0.9
Aggres3,22.16,17.83,1.53,0.9
Aggres1,21.6,19.31,1.51,1.0
Aggres2,17.84,15.95,0.77,1.0
Ge1,16.85,15.07,0.19,1.0
Aggres3,19.95,17.83,1.53,1.0
Aggres1,19.64,19.31,1.51,1.1
Aggres2,16.22,15.95,0.77,1.1
Ge1,15.32,15.07,0.19,1.1
Aggres3,18.13,17.83,1.53,1.1
Aggres1,18.0,19.31,1.51,1.2
Aggres2,14.86,15.95,0.77,1.2
Ge1,14.04,15.07,0.19,1.2
Aggres3,16.62,17.83,1.53,1.2
Aggres1,16.62,19.31,1.51,1.3
Aggres2,13.72,15.95,0.77,1.3
Ge1,12.96,15.07,0.19,1.3
Aggres3,15.34,17.83,1.53,1.3
Aggres1,15.43,19.31,1.51,1.4
Aggres2,12.74,15.95,0.77,1.4
Ge1,12.04,15.07,0.19,1.4
Aggres3,14.25,17.83,1.53,1.4
Aggres1,14.4,19.31,1.51,1.5
Aggres2,11.89,15.95,0.77,1.5
Ge1,11.24,15.07,0.19,1.5
Aggres3,13.3,17.83,1.53,1.5
Aggres1,13.5,19.31,1.51,1.6
Aggres2,11.15,15.95,0.77,1.6
Ge1,10.53,15.07,0.19,1.6
Aggres3,12.47,17.83,1.53,1.6
Aggres1,12.71,19.31,1.51,1.7
Aggres2,10.49,15.95,0.77,1.7
Ge1,9.91,15.07,0.19,1.7
Aggres3,11.73,17.83,1.53,1.7
Aggres1,12.0,19.31,1.51,1.8
Aggres2,9.91,15.95,0.77,1.8
Ge1,9.36,15.07,0.19,1.8
Aggres3,11.08,17.83,1.53,1.8
Aggres1,11.37,19.31,1.51,1.9
Aggres2,9.39,15.95,0.77,1.9
Ge1,8.87,15.07,0.19,1.9
Aggres3,10.5,17.83,1.53,1.9
Aggres1,10.8,19.31,1.51,2.0
Aggres2,8.92,15.95,0.77,2.0
Ge1,8.43,15.07,0.19,2.0
Aggres3,9.97,17.83,1.53,2.0
Aggres1,10.29,19.31,1.51,2.1
Aggres2,8.49,15.95,0.77,2.1
Ge1,8.03,15.07,0.19,2.1
Aggres3,9.5,17.83,1.53,2.1
Aggres1,9.82,19.31,1.51,2.2
Aggres2,8.11,15.95,0.77,2.2
Ge1,7.66,15.07,0.19,2.2
Aggres3,9.07,17.83,1.53,2.2
Aggres1,9.39,19.31,1.51,2.3
Aggres2,7.76,15.95,0.77,2.3
Ge1,7.33,15.07,0.19,2.3
Aggres3,8.67,17.83,1.53,2.3
Aggres1,9.0,19.31,1.51,2.4
